Coach_Name,Background,Offensive_Years,Defensive_Years
Ralph Scott,Other,0,0
Ray Flaherty,Other,0,0
Ray Handley,Defensive,0,5
Ray Malavasi,Defensive,0,15
Ray McLean,Other,0,0
Ray Perkins,Offensive,12,0
Ray Prochaska,Offensive,25,0
Ray Rhodes,Defensive,0,23
Ray Richards,Defensive,0,1
Ray Willsey,Both,8,12
Raymond Berry,Offensive,16,0
Red Dawson,Other,0,0
Red Hickey,Offensive,10,0
Red Miller,Offensive,15,0
Red Strader,Other,0,0
Red Weaver,Other,0,0
Rex Ryan,Defensive,0,20
Rich Bisaccia,Both,14,3
Rich Brooks,Defensive,0,14
Rich Kotite,Offensive,14,0
Richard Williamson,Offensive,25,0
Richie Petitbon,Defensive,0,19
Rick Forzano,Other,0,0
Rick Venturi,Defensive,0,27
Rob Chudzinski,Offensive,19,0
Robert Saleh,Defensive,0,20
Rod Dowhower,Offensive,25,0
Rod Marinelli,Defensive,1,32
Rod Rust,Defensive,0,28
Romeo Crennel,Defensive,0,32
Ron Erhardt,Offensive,17,0
Ron Meyer,Other,0,0
Ron Rivera,Defensive,0,14
Ron Waller,Offensive,3,0
Roy Andrews,Other,0,0
Rube Ursella,Other,0,0
Russ Daugherty,Other,0,0
Russell Tollefson,Other,0,0
Sam Rutigliano,Both,17,4
Sam Wyche,Offensive,19,0
Sammy Baugh,Other,0,0
Scott Linehan,Offensive,29,0
Scotty Bierce,Other,0,0
Sean McDermott,Defensive,0,15
Sean McVay,Offensive,9,0
Sean Payton,Offensive,16,0
Shane Steichen,Offensive,11,2
Shorty Barr,Other,0,0
Sid Gillman,Offensive,3,0
Stan Cofall,Other,0,0
Steve Mariucci,Offensive,17,0
Steve Owen,Defensive,0,2
Steve Spagnuolo,Defensive,0,38
Steve Spurrier,Offensive,5,0
Steve Wilks,Defensive,0,24
Swede Youngstrom,Other,0,0
Tam Rose,Other,0,0
Ted Marchibroda,Offensive,14,0
Ted Nesser,Other,0,0
Ted Shipkey,Other,0,0
Terry Robiskie,Offensive,33,0
Tex Grigg,Other,0,0
Thomas Brown,Offensive,13,0
Todd Bowles,Defensive,0,17
Todd Haley,Offensive,21,0
Tom Bettis,Defensive,0,28
Tom Cable,Offensive,24,1
Tom Coughlin,Offensive,17,0
Tom Fears,Offensive,10,0
Tom Flores,Offensive,8,0
Tom Landry,Defensive,0,6
Tom Scott,Other,0,0
Tommy Hudspeth,Other,0,0
Tommy Hughitt,Other,0,0
Tommy Prothro,Other,0,0
Tony Dungy,Defensive,0,16
Tony Sparano,Offensive,22,0
Turk Edwards,Other,0,0
