coach,hire_year,duration,last_year,final_winpct,final_record,age_at_exit,notes,coached_after,hc_elsewhere_next,hc_elsewhere_after,auto_label,exit_type,confidence,needs_validation,resolved_label,resolved_reason
Leslie Frazier,2011,3,2013,0.344,5-10-1,54.0,,1,0,0,event,losing_finale,high,False,,
Mike Munchak,2011,3,2013,0.438,7-9,53.0,,1,0,0,event,losing_finale,high,False,,
Mike Shanahan,2010,4,2013,0.188,3-13,61.0,,0,0,0,event,losing_finale,high,False,,
Rob Chudzinski,2013,1,2013,0.25,4-12,45.0,,1,0,0,event,losing_finale,high,False,,
Dennis Allen,2012,3,2014,0.0,0-4,42.0,Fired after week 4,1,0,1,event,fired_notes,high,False,,
Marc Trestman,2013,2,2014,0.313,5-11,58.0,,1,0,0,event,losing_finale,high,False,,
Mike Smith,2008,7,2014,0.375,6-10,55.0,,1,0,0,event,losing_finale,high,False,,
Rex Ryan,2009,6,2014,0.25,4-12,52.0,,1,1,1,event,losing_finale,high,False,,
Chip Kelly,2013,3,2015,0.4,6-9,52.0,Fired after Week 16,1,1,1,event,fired_notes,high,False,,
Jim Tomsula,2015,1,2015,0.313,5-11,47.0,,1,0,0,event,losing_finale,high,False,,
Joe Philbin,2012,4,2015,0.25,1-3,54.0,Fired after Week 4,1,0,0,event,fired_notes,high,False,,
Ken Whisenhunt,2014,2,2015,0.143,1-6,53.0,Fired after Week 8,1,0,0,event,fired_notes,high,False,,
Lovie Smith,2014,2,2015,0.375,6-10,57.0,,1,0,1,event,losing_finale,high,False,,
Mike Pettine,2014,2,2015,0.188,3-13,49.0,,1,0,0,event,losing_finale,high,False,,
Tom Coughlin,2004,12,2015,0.375,6-10,69.0,,0,0,0,event,losing_finale,high,False,,
Chip Kelly,2016,1,2016,0.125,2-14,53.0,,1,0,0,event,losing_finale,high,False,,
Gus Bradley,2013,4,2016,0.143,2-12,50.0,,1,0,0,event,losing_finale,high,False,,
Jeff Fisher,2012,5,2016,0.308,4-9,58.0,Fired after Week 14,1,0,0,event,fired_notes,high,False,,
Mike McCoy,2013,4,2016,0.313,5-11,44.0,,1,0,0,event,losing_finale,high,False,,
Rex Ryan,2015,2,2016,0.467,7-8,54.0,Fired after Week 16,0,0,0,event,fired_notes,high,False,,
Ben McAdoo,2016,2,2017,0.167,2-10,40.0,Fired 12/04,1,0,0,event,fired_notes,high,False,,
Chuck Pagano,2012,6,2017,0.25,4-12,57.0,,1,0,0,event,losing_finale,high,False,,
Jack Del Rio,2015,3,2017,0.375,6-10,54.0,,1,0,0,event,losing_finale,high,False,,
John Fox,2015,3,2017,0.313,5-11,62.0,,0,0,0,event,losing_finale,high,False,,
Adam Gase,2016,3,2018,0.438,7-9,40.0,,1,1,1,event,losing_finale,high,False,,
Dirk Koetter,2016,3,2018,0.313,5-11,59.0,,1,0,0,event,losing_finale,high,False,,
Hue Jackson,2016,3,2018,0.313,2-5-1,53.0,,1,0,0,event,losing_finale,high,False,,
Marvin Lewis,2003,16,2018,0.375,6-10,60.0,,1,0,0,event,losing_finale,high,False,,
Mike McCarthy,2006,13,2018,0.375,4-7-1,55.0,Fired after Week 13,1,0,1,event,fired_notes,high,False,,
Steve Wilks,2018,1,2018,0.188,3-13,49.0,,1,0,0,event,losing_finale,high,False,,
Todd Bowles,2015,4,2018,0.25,4-12,55.0,,1,0,1,event,losing_finale,high,False,,
Vance Joseph,2017,2,2018,0.375,6-10,46.0,,1,0,0,event,losing_finale,high,False,,
Freddie Kitchens,2019,1,2019,0.375,6-10,45.0,,1,0,0,event,losing_finale,high,False,,
Jay Gruden,2014,6,2019,0.0,0-5,52.0,Fired after Week 5,1,0,0,event,fired_notes,high,False,,
Pat Shurmur,2018,2,2019,0.25,4-12,54.0,,1,0,0,event,losing_finale,high,False,,
Ron Rivera,2011,9,2019,0.417,5-7,57.0,Fired after Week 13,1,1,1,event,fired_notes,high,False,,
Adam Gase,2019,2,2020,0.125,2-14,42.0,,0,0,0,event,losing_finale,high,False,,
Anthony Lynn,2017,4,2020,0.438,7-9,52.0,,1,0,0,event,losing_finale,high,False,,
Bill O'Brien,2014,7,2020,0.0,0-4,51.0,Fired after week 4,1,0,0,event,fired_notes,high,False,,
Dan Quinn,2015,6,2020,0.0,0-5,50.0,Fired after week 5,1,0,1,event,fired_notes,high,False,,
Doug Marrone,2017,4,2020,0.063,1-15,56.0,,1,0,0,event,losing_finale,high,False,,
Doug Pederson,2016,5,2020,0.281,4-11-1,52.0,,1,0,1,event,losing_finale,high,False,,
Matt Patricia,2018,3,2020,0.364,4-7,46.0,Fired after week 12,1,0,0,event,fired_notes,high,False,,
David Culley,2021,1,2021,0.235,4-13,66.0,,0,0,0,event,losing_finale,high,False,,
Joe Judge,2020,2,2021,0.235,4-13,40.0,,1,0,0,event,losing_finale,high,False,,
Matt Nagy,2018,4,2021,0.353,6-11,43.0,,1,0,0,event,losing_finale,high,False,,
Mike Zimmer,2014,8,2021,0.471,8-9,65.0,,1,0,0,event,losing_finale,high,False,,
Urban Meyer,2021,1,2021,0.154,2-11,57.0,,0,0,0,event,losing_finale,high,False,,
Vic Fangio,2019,3,2021,0.412,7-10,63.0,,1,0,0,event,losing_finale,high,False,,
Frank Reich,2018,5,2022,0.389,3-5-1,61.0,Fired after week 9,1,1,1,event,fired_notes,high,False,,
Kliff Kingsbury,2019,4,2022,0.235,4-13,43.0,,1,0,0,event,losing_finale,high,False,,
Lovie Smith,2022,1,2022,0.206,3-13-1,64.0,,0,0,0,event,losing_finale,high,False,,
Matt Rhule,2020,3,2022,0.2,1-4,47.0,Fired after week 5,1,0,0,event,fired_notes,high,False,,
Nathaniel Hackett,2022,1,2022,0.267,4-11,43.0,Fired after week 16,1,0,0,event,fired_notes,high,False,,
Arthur Smith,2021,3,2023,0.412,7-10,41.0,,1,0,0,event,losing_finale,high,False,,
Bill Belichick,2000,24,2023,0.235,4-13,71.0,,1,0,0,event,losing_finale,high,False,,
Brandon Staley,2021,3,2023,0.357,5-9,41.0,fired after week 15,1,0,0,event,fired_notes,high,False,,
Frank Reich,2023,1,2023,0.091,1-10,62.0,fired after week 12,0,0,0,event,fired_notes,high,False,,
Josh McDaniels,2022,2,2023,0.375,3-5,47.0,Fired after week 8,1,0,0,event,fired_notes,high,False,,
Mike Vrabel,2018,6,2023,0.353,6-11,48.0,,1,0,1,event,losing_finale,high,False,,
Ron Rivera,2020,4,2023,0.235,4-13,61.0,,0,0,0,event,losing_finale,high,False,,
Antonio Pierce,2024,1,2024,0.235,4-13,46.0,,0,0,0,event,losing_finale,high,False,,
Dennis Allen,2022,3,2024,0.222,2-7,52.0,fired after week 9,1,0,0,event,fired_notes,high,False,,
Doug Pederson,2022,3,2024,0.235,4-13,56.0,,0,0,0,event,losing_finale,high,False,,
Jerod Mayo,2024,1,2024,0.235,4-13,38.0,,0,0,0,event,losing_finale,high,False,,
Matt Eberflus,2022,3,2024,0.333,4-8,54.0,fired after week 13,1,0,0,event,fired_notes,high,False,,
Mike McCarthy,2020,5,2024,0.412,7-10,61.0,,0,0,0,event,losing_finale,high,False,,
Robert Saleh,2021,4,2024,0.4,2-3,45.0,fired after week 5,1,0,0,event,fired_notes,high,False,,
Andy Reid,2013,13,2025,,,,,0,0,0,censor,active,high,False,,
Dan Campbell,2021,5,2025,,,,,0,0,0,censor,active,high,False,,
John Harbaugh,2008,18,2025,,,,,0,0,0,censor,active,high,False,,
Kevin Stefanski,2020,6,2025,,,,,0,0,0,censor,active,high,False,,
Kyle Shanahan,2017,9,2025,,,,,0,0,0,censor,active,high,False,,
Matt LaFleur,2019,7,2025,,,,,0,0,0,censor,active,high,False,,
Mike Tomlin,2007,19,2025,,,,,0,0,0,censor,active,high,False,,
Nick Sirianni,2021,5,2025,,,,,0,0,0,censor,active,high,False,,
Sean McDermott,2017,9,2025,,,,,0,0,0,censor,active,high,False,,
Sean McVay,2017,9,2025,,,,,0,0,0,censor,active,high,False,,
Zac Taylor,2019,7,2025,,,,,0,0,0,censor,active,high,False,,
