,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Avg 2Y Win Pct,Coach Tenure Class
481,Mike McCormack,1973,43,0,0,0,0,7,0,0,0,,,,,,,,,,0.32142857142857145,0.5,0.15999999999999998,0.12,0.25,0.0,0.0,0.4464285714285714,1
482,Mike McCormack,1980,50,1,0,0,0,11,0,3,1,,,,,,,0.30666666666666664,0.3866666666666667,0.7200000000000001,0.3125,0.3148148148148149,0.09259259259259262,0.20370370370370372,0.0,0.0,0.0,0.28125,0
483,Mike McCormack,1982,52,2,0,0,0,11,0,5,1,,,,,,,0.2654814814814815,0.3134814814814815,0.5653333333333335,0.3125,0.5740740740740742,0.18518518518518523,0.25925925925925924,0.0,0.0,0.0,0.5714285714285714,0
484,Mike McCoy,2013,41,0,0,0,0,9,4,0,0,0.5887096774193548,0.5,0.5161290322580645,,,,,,,0.46875,0.4032258064516129,0.5967741935483871,0.532258064516129,0.6666666666666667,0.0,0.0,0.5625,1
485,Mike Mularkey,2004,43,0,1,0,0,7,3,0,0,0.7089605734767025,0.6645161290322581,0.5695340501792114,,,,,,,0.4375,0.08064516129032256,0.3870967741935484,0.5483870967741935,0.16666666666666669,0.0,0.0,0.4375,0
486,Mike Mularkey,2012,51,1,1,0,0,8,8,2,1,0.6368279569892473,0.6362903225806451,0.6934139784946236,,,,0.38709677419354843,0.5,0.7096774193548387,0.40625,0.3870967741935484,0.22580645161290325,0.1935483870967742,0.5,0.0,0.0,0.125,0
487,Mike Mularkey,2016,55,2,1,0,0,10,8,3,1,0.6368279569892473,0.6362903225806451,0.6934139784946236,,,,0.2580645161290323,0.3440860215053763,0.5913978494623656,0.15625,0.09677419354838712,0.04838709677419356,0.16129032258064518,0.0,0.0,0.0,0.5625,0
488,Mike Munchak,2011,51,0,0,0,0,17,0,0,0,,,,,,,,,,0.4375,0.3870967741935484,0.43548387096774194,0.22580645161290325,0.16666666666666669,0.0,0.0,0.46875,1
489,Mike Nixon,1959,48,0,0,0,0,9,0,0,0,,,,,,,,,,0.41666666666666663,0.5454545454545454,0.5,0.2727272727272727,0.4,0.0,0.0,0.20833333333333331,0
490,Mike Nixon,1965,54,1,0,0,0,13,0,2,1,,,,,,,0.0,0.041666666666666685,0.30303030303030304,0.4821428571428571,0.5,0.34615384615384615,0.38461538461538464,0.3333333333333333,0.0,0.0,0.14285714285714285,0
